account_id,company_name,official_website,industry,country_region,target_buyer_role,recommended_first_offer,pain_hypothesis,trigger_reason_to_contact,likely_data_workflow,governance_security_angle,suggested_discovery_cta,lead_score,verification_status,next_action
T001,Cyril Amarchand Mangaldas,https://www.cyrilshroff.com/,Legal Document Intelligence,India,"Legal Operations Head; Knowledge Management Head; Innovation/Digital Head",Legal Document Intelligence Readiness Assessment,"High-volume legal document review, clause comparison, obligation tracking, and knowledge search","Large law firm with document-heavy workflows","Sample/redacted contracts; templates; clause playbooks; knowledge notes","Confidentiality; privilege; source citation; human legal review","Identify one recurring document review or knowledge search workflow for readiness scoring",88,"Official website HTTP 200 verified","Verify buyer role and public contact route"
T002,Shardul Amarchand Mangaldas & Co,https://www.amsshardul.com/,Legal Document Intelligence,India,"Knowledge Management Head; Legal Operations Head; Innovation/Digital Head",Legal Document Intelligence Readiness Assessment,"Document-heavy advisory, disputes, compliance evidence, and knowledge workflows","Large law firm with high-volume legal workflows","Sample contracts; research notes; clause positions; evidence templates","Privilege; confidentiality; access control; source-cited outputs","Assess one source-cited knowledge retrieval or clause comparison workflow",87,"Official website HTTP 200 verified","Verify buyer role and public contact route"
T003,Khaitan & Co,https://www.khaitanco.com/,Legal Document Intelligence,India,"Knowledge Management Head; Innovation/Digital Head; Legal Operations Head",Legal Document Intelligence Readiness Assessment,"Contract, transaction, and regulatory advisory workflows may benefit from document intelligence","Large firm with likely knowledge-management and document review workload","Redacted agreements; legal memos; clause bank; matter templates","Confidentiality; privilege; source traceability; human review","Score one recurring legal document workflow for 45-day pilot readiness",86,"Official website identified; automated HTTP returned 503","Manually verify contact route and buyer role before outreach"
T004,AZB & Partners,https://www.azbpartners.com/,Legal Document Intelligence,India,"Knowledge Management Head; Legal Operations Head; Innovation/Digital Head",Legal Document Intelligence Readiness Assessment,"Corporate advisory and transaction document workflows need efficient clause search and review support","Large commercial law firm with document-heavy workflows","Sample deal documents; templates; clauses; internal guidance","Privilege; confidentiality; reviewer approval; audit trail","Select one clause comparison or legal knowledge retrieval workflow",85,"Official website HTTP 200 verified","Verify buyer role from official/public source"
T005,Trilegal,https://www.trilegal.com/,Legal Document Intelligence,India,"Knowledge Management Head; Innovation/Digital Head; Legal Operations Head",45-Day Legal Document Intelligence Pilot after readiness check,"Legal document workflows can benefit from source-cited search and playbook-driven clause checks","Large firm with advisory and transaction workflows","Legal templates; clause playbooks; knowledge documents","Source citation; human legal review; confidentiality controls","Validate one source-cited document intelligence workflow",84,"Official website HTTP 200 verified","Verify public contact route"
T006,Nishith Desai Associates,https://www.nishithdesai.com/,Legal Document Intelligence,India / International,"Knowledge Management Head; Research/Innovation Head; Digital Head",Legal Document Intelligence Readiness Assessment,"Research-led advisory workflows create fit for source-cited legal knowledge retrieval","Research and knowledge-intensive legal services model","Research publications; sample memos; legal knowledge base; templates","Source citation; content authority; confidentiality; reviewer approval","Assess a legal research and knowledge search workflow",83,"Official website HTTP 200 verified","Verify relevant public buyer role"
T007,JSA Advocates & Solicitors,https://www.jsalaw.com/,Legal Document Intelligence,India,"Knowledge Management Head; Legal Operations Head; Innovation/Digital Head",Legal Document Intelligence Readiness Assessment,"Corporate, regulatory, and disputes workflows may benefit from AI-assisted source-cited review","Large law firm with likely knowledge and document workflow needs","Sample contracts; regulatory notes; litigation documents; clause guides","Privilege; confidentiality; source traceability","Identify one high-volume legal document workflow for readiness scoring",82,"Official website identified; automated HTTP returned 403","Manually verify contact route and buyer role before outreach"
T008,HDFC ERGO General Insurance,https://www.hdfcergo.com/,BFSI / Insurance AI,India,"Claims Head; CIO/CTO; Compliance Head; Digital Transformation Head",BFSI / Insurance AI Readiness Assessment,"Claims triage, policy document intelligence, and compliance evidence workflows may benefit from governed decision support","Large insurer with claims and policy servicing workflows","Sample/redacted claims; policy documents; claim status; evidence checklist","Regulated decision support; audit trail; source evidence; human approval","Assess one claims triage or policy document intelligence workflow",87,"Official website identified; automated HTTP returned 406","Manually verify public contact route and buyer role"
T009,ICICI Lombard General Insurance,https://www.icicilombard.com/,BFSI / Insurance AI,India,"Claims Head; Underwriting Head; CIO/CTO; Compliance Head",45-Day Claims / Underwriting / Compliance AI Pilot after readiness check,"Claims, underwriting, and policy document workflows create fit for source-cited decision support","Large general insurer with high-volume document and claims workflows","Sample claims; policy wordings; underwriting documents; compliance evidence","Model risk; auditability; human approval; sensitive data controls","Select one claims or underwriting review workflow for readiness scoring",86,"Official website identified; automated HTTP returned 403","Manually verify public contact route and relevant buyer role"
T010,SBI General Insurance,https://www.sbigeneral.in/,BFSI / Insurance AI,India,"Claims Head; Operations Head; CIO/CTO; Compliance Head",BFSI / Insurance AI Readiness Assessment,"Claims triage, service support, compliance evidence, and policy intelligence may benefit from governed AI","Insurer with document, claims, and service workflows","Sample/redacted claims; policy wording; service request notes","Source citation; audit trail; human approval","Evaluate a claims completeness or policy intelligence workflow",84,"Official website HTTP 200 verified","Verify public buyer role"
